
? CHAPTER ONE  ?
? CHAPTER FOUR  ?

Table 4–15: Black Market
1  Accoran Mathruis has illegal orc tobacco for sale in his attic.
2  Barot Torb, a dwarf, has a secret room under his smithy where he trades in smuggled metals.
3  Corithan Solomon runs a general store where you can contact a prostitution ring.
4  Cyrence Borouck sells illegal and outlawed magical items from his small boat.
5  Devinstance Eonmos can procure any type of contraband down by the Craven Tavern.
6  Dominus Gillid sells potions, but if you rub your chin he'll show you outlawed, rare poisons.
7  Dorivan Delgrath can get elven food served in the basement of his simple inn.
8  Dougrich Heward is a contact for the Crimson Wasp assassins, and can broker deals too.
9  Esrabeth Nominus can get small reams of the highest quality elf paper in his general store.
10  Evenrude du Builrend sells normal perfumes and has a small stash of dwarven perfume as well.
11  Hollique Fleur isn't just a barkeep but a font of specialized information on trade.
12  Lady Ventrasa Illimus has a slave trade running from her extensive estate grounds. 
13  Lethony Velendra knows a band of diviners willing to cast divination spells on anyone for a price.
14  Malichai Durgen owns the magic guild but can get custom wards designed for any locale.
15  Marcah Caslar, leader of the Rotgut Men, offers all manner of protection, no matter where.
16  Nathaneth Doricon is a bookseller who also smuggles the outlawed true history of the monarchy.
17  Oliman Zabrandus deals in special outlawed pearls that can be ground into alchemical elixirs.
18  Patrem Mornrim can obtain magical components for spells long outlawed in the land.
19  Roderick "Justice" MacLachlan channels bribes and gifts to members of the court system.
20  Zachriam Munavian acquires healing potions that, while potent, exact a bizarre toll on the body.

Table 4–16: Establishment Supplies
1  Borigdarr Darkhorn runs a dockside shack that sells fishing supplies and bait.
2  Carsae Kalizan runs a potion shop out of a wagon that roams the docks.
3  Crigo Mylarn operates a blacksmith shop specializing in farm equipment.
4  Darlane Du Sara is a woodworker who makes and sells barrels and troughs.
5  Glaerim Sullendrach operates a jewelry store and also cuts gems himself.
6  Gurrion Korith owns one of the finest stables around, selling both horses and ponies.
7  Harish Findar runs an outstanding all-purpose bakery out of his simple home.
8  Jedder Kor is a scribe who transcribes books and writes special letters and forms.
9  Ketrick Jentha has a candle shop that specializes in all matter of illumination.
10  Lhaerus Levien owns a hobby shop with game pieces, tavern puzzles and toys.
11  Luzward Brynn is a bookseller and stocks both scholarly work and common tales.
12  Marias Heybor runs a dingy shop selling cheap clothing materials and silks.
13  Meith Arachar and her daughters own a simple desert shop with pies and cookies.
14  Moiran Gilath runs an apothecary that also dabbles in occasional snake oil.
15  Mythliam Dimitre is the proud owner of a tannery and grain shop.
16  Nerek Artinal runs the local woodworks and his brother Balis makes furniture.
17  Orikoff Goldbar owns a brewery and sells some of the finest homemade ales around.
18  Tiffon Belia owns a sword and knife shop and offers regular sharpening for free.
19  Trinio Levandar operates an armory with special items he obtains from dwarves.
20  Tyrkoth Jystuul runs the local clothier and offers both work gear and festival dress.

? CHAPTER FOUR  ?
crewing the ship
Table 4–17: Nautical Equipment 1
1  Anchor
2  Air bladder
3  Astrolabe
4  Belaying pin
5  Bilge pump
6  Binnacle
7  Boatswain's whistle
8  Captain's log
9  Captain's speaking cone
10  Charting tools
11  Compass
12  Ditty bag
13  Diving grease
14  Diving helm
15  Goggles
16  Grappling hooks and line
17  Lifesaver
18  Log line
19  Maps and charts
20  Oar
Table 4–18: Nautical Equipment 2
1  Rope
2  Sail repair material
3  Sail, great lateen
4  Sail, great square
5  Sail, large lateen
6  Sail, large square
7  Sail, medium lateen
8  Sail, medium square
9  Sail, small lateen
10  Sail, small square
11  Sea rations
12  Sextant
13  Ship repair material
14  Ship's bell
15  Siege weapon and ammunition
16  Spyglass
17  Telescope
18  Timepiece
19  Water odometer
20  Weather glass

Table 4–19: Captain's Orders
1  Abandon ship: everyone overboard
2  All hands in: no night watches
3  Anchor's aweigh: let's set sail
4  Bear down: turn away from the wind
5  Bring alongside: pull beside another vessel
6  Bring to: use the sails to come to a halt
7  Cut and run: cease grapples on ship and flee
8  Full ahead: top speed straight course
9  Full and by: sail into the wind
10  Furl the sails: wrap sails around mast
11  Hard to aft: turn right
12  Hard to port: turn left
13  Haul wind: turn into the wind
14  Lay ahull: wait out a storm
15  Lay: to come and go, usually followed by a deck position
16  Outward bound: leave port of safety
17   Overbear: sail downwind, stealing another's wind
18  Pipe down: demand silence
19  Sound the bell: an alert
20  Toe the line: crew report on deck in line

Table 4–20: Ship's Crew
1  Artillerist
2  Bosun
3  Cabin boy
4  Captain
5  Carpenter
6  Consort
7  Cook
8  First Officer
9  Marines
10  Navigator
11  Officers
12  Purser
13  Sea wizard
14  Seaman, experienced
15  Seaman, green
16  Second Officer
17  Slave, new
18  Slave, veteran
19  Steward
20  Taskmaster

? CHAPTER FOUR  ?
Table 4–21: Nautical Terms 1
1  Abeam: At right angles to, or beside, the boat
2  Aboard: On or in the boat
3  Aft: Toward the stern
4  Aground: When the hull or keel is against the ground
5  Aloft: Overhead or above
6  Amidships: The middle of a vessel, either longitudinally or transversely
7  Anchor: An object designed to grip the ground under a body of water
8  Astern: Behind the boat
9  Backstay: A support wire that runs from the top of the mast to the stern
10  Bail: To remove water from the boat
11  Ballast: Weight in the lower portion of a boat, used to add stability
12  Battens: Thin, stiff strips of wood, placed in pockets in the leech of a sail, to keep its form
13  Beakhead: A platform or projecting structure forward of the forecastle
14  Beam: The width of the boat at its widest 
15  Bearing: A compass direction from one point to another
16  Belay: To make secure
17  Bight: A loop
18  Bilge: The lowest part of a boat, designed to collect water that enters the boat
19  Block: A pulley
20  Boat Hook: A device designed to catch a line when coming alongside a pier or mooring
Table 4–22: Nautical Terms 2
1  Boatswain/Bosun: An officer in charge of the rigging and sails and whistles the crew to their posts
2  Bolt Rope: A rope sewn into the luff of a sail for use in attaching to the standing rigging
3  Boom: The horizontal spar to which the foot of a sail is attached
4  Bore: Interior of a cannon barrel
5  Bow: The front of the boat
6  Bowsprit: A spar extending forward from the bow
7  Broach: To spin out of control, either causing or nearly causing a capsize
8  Broad Reach: A point of sail when the boat is sailing away from the wind
9  Breech: The part of a cannon behind the bore
10  Buoy: An anchored float marking a position or for use as a mooring
11  By the Lee: Sailing with the wind coming from behind, and slightly to the side
12  Capsize: To turn a boat over
13  Cast Off: To release lines holding boat to shore or mooring, to release sheets
14  Centerboard: A fin-shaped, removable board that extends from the bottom of the boat as a keel
15  Chainplates: Metal plates bolted to the boat to which standing rigging is attached
